(1471, 'easy', 0.39918588873812755)
(1127, 'implementation', 0.30583446404341924)
(1071, 'allmath', 0.29063772048846676)
(703, 'dp', 0.19077340569877882)
(660, 'allgraphs', 0.1791044776119403)
(657, 'math', 0.17829036635006784)
(652, 'greedy', 0.1769335142469471)
(542, 'bruteforce', 0.14708276797829037)
(527, 'datastructures', 0.14301221166892808)
(383, 'constructivealgorithms', 0.1039348710990502)
(339, 'dfsandsimilar', 0.09199457259158751)
(321, 'binarysearch', 0.08710990502035278)
(320, 'sortings', 0.08683853459972862)
(270, 'graphs', 0.07327001356852103)
(242, 'allstrings', 0.06567164179104477)
(230, 'trees', 0.06241519674355495)
(200, 'strings', 0.054274084124830396)
(184, 'numbertheory', 0.04993215739484396)
(179, 'combinatorics', 0.0485753052917232)
(172, 'geometry', 0.04667571234735414)
(154, 'specialproblem', 0.041791044776119404)
(137, 'twopointers', 0.03717774762550882)
(124, 'bitmasks', 0.03364993215739484)
(123, 'dsu', 0.033378561736770694)
(87, 'probabilities', 0.02360922659430122)
(83, 'shortestpaths', 0.022523744911804613)
(78, 'hashing', 0.021166892808683852)
(75, 'divideandconquer', 0.0203527815468114)
(63, 'games', 0.017096336499321574)
(55, 'flows', 0.014925373134328358)
(51, 'matrices', 0.01383989145183175)
(40, 'stringsuffixstructures', 0.010854816824966078)
(30, 'expressionparsing', 0.008141112618724558)
(25, 'graphmatchings', 0.0067842605156037995)
(20, 'ternarysearch', 0.005427408412483039)
(17, 'meet-in-the-middle', 0.004613297150610584)
(15, 'fft', 0.004070556309362279)
(10, '2-sat', 0.0027137042062415195)
(6, 'chineseremaindertheorem', 0.0016282225237449117)
(5, 'schedules', 0.0013568521031207597)
